product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,image_url
Xiaomi Redmi Note 15 Pro 5G,Xiaomi,9349000,12,256,6.83,1280x2772,Dimensity 7400-Ultra 8 nhân,Xiaomi HyperOS 2.2,Chính 200MP & Phụ 8 MP,20 MP,6580,163.61x78.09x7.96,204,5,1,https://www.duchuymobile.com/images/detailed/89/redmi-note-15-pro-5g-xam.png
Realme P4 Power 5G,Realme,7919000,8,128,6.8,1280x2800,Dimensity 7400 Ultra (4 nm),"Android 16, Realme UI 7.0",50 + 8 MP,"16 MP, f/2.4",10001,162.3x76.2x9.1,219,5,1,https://www.duchuymobile.com/images/detailed/89/realme-p4-power.jpg
OPPO A6T 5G,OPPO,4999000,4,128,6.75,720x1570,Dimensity 6300 (6 nm),Android 15,"50 MP, Auxiliary lens",5MP,6500,166.6x78.5x8.6,212,5,1,https://www.duchuymobile.com/images/detailed/89/oppo-a6t-5g.jpg
Nubia V80 Max,Nubia,2669000,8,128,6.9,729x1640,Unisoc T7250,Android 16,50 MP + 2 MP,16MP,6000,171.8x78.4x8.5,191,5,1,https://www.duchuymobile.com/images/detailed/89/nubia-v80-max-den.jpg
Nubia V80 Max,Nubia,2939000,8,256,6.9,729x1640,Unisoc T7250,Android 16,50 MP + 2 MP,16MP,6000,171.8x78.4x8.5,191,5,1,https://www.duchuymobile.com/images/detailed/89/nubia-v80-max-bac.jpg
Nubia V80 Design,Nubia,2939000,8,256,6.75,900x1940,Unisoc T7280 (12 nm),Android 16,50 MP + 2 MP,16MP,5000,166x79x7.7,191,5,1,https://www.duchuymobile.com/images/detailed/89/nubia-v80-design-den.jpg
Motorola Moto G67 5G,Motorola,7099000,4,128,6.78,1272x2772,Dimensity 6300 (6 nm),Android 16,50 + 8 MP,32 MP,5200,164.2x77.4x7.3,182,5,1,https://www.duchuymobile.com/images/detailed/89/motorola-moto-g67.jpg
Xiaomi POCO M8 5G,Xiaomi,6829000,8,512,6.77,1080x2392,Snapdragon 6 Gen 3 (4 nm),Xiaomi HyperOS 2,50 + 2 MP,20 MP,5520,164x75.42x7.35,178,5,1,https://www.duchuymobile.com/images/detailed/89/poco-m8-bac.jpg
Xiaomi POCO X7 Pro 5G,Xiaomi,9349000,12,512,6.67,2712x1220,Dimensity 8400-Ultra 4nm,Xiaomi HyperOS 2,2 Camera 50 + 8 MP,20MP,6000,160.75x8.29x8.43,195,5,1,https://www.duchuymobile.com/images/detailed/89/poco-x7-pro-den.jpg
Xiaomi POCO C85 5G,Xiaomi,3519000,4,128,6.9,720x1600,Dimensity 6300 (6 nm),"Android 15, HyperOS 2",50 MP + Ống kính phụ,8MP,6000,173.2x81.1x8,211,5,1,https://www.duchuymobile.com/images/detailed/88/poco-c85-5g.jpg
