product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,original_price,stock,image_url
Xiaomi Redmi Note 15 Pro 5G,Xiaomi,9349000,12,256.0,6.83,1280x2772,Dimensity 7400-Ultra 8 nhân,Xiaomi HyperOS 2.2,Chính 200MP & Phụ 8 MP,20 MP,6580.0,163.61x78.09x7.96,204,5,1,11160000.0,76,https://www.duchuymobile.com/images/detailed/89/redmi-note-15-pro-5g-xam.png
Nubia V80 Max,Nubia,2669000,8,128.0,6.9,729x1640,Unisoc T7250,Android 16,50 MP + 2 MP,16MP,6000.0,171.8x78.4x8.5,191,5,1,3390000.0,95,https://www.duchuymobile.com/images/detailed/89/nubia-v80-max-den.jpg
Nubia V80 Design,Nubia,2939000,8,256.0,6.75,900x1940,Unisoc T7280 (12 nm),Android 16,50 MP + 2 MP,16MP,5000.0,166x79x7.7,191,5,1,3320000.0,102,https://www.duchuymobile.com/images/detailed/89/nubia-v80-design-den.jpg
Motorola Moto G67 5G,Motorola,7099000,4,128.0,6.78,1272x2772,Dimensity 6300 (6 nm),Android 16,50 + 8 MP,32 MP,5200.0,164.2x77.4x7.3,182,5,1,8020000.0,112,https://www.duchuymobile.com/images/detailed/89/motorola-moto-g67.jpg
Xiaomi POCO M8 5G,Xiaomi,6829000,8,512.0,6.77,1080x2392,Snapdragon 6 Gen 3 (4 nm),Xiaomi HyperOS 2,50 + 2 MP,20 MP,5520.0,164x75.42x7.35,178,5,1,7530000.0,51,https://www.duchuymobile.com/images/detailed/89/poco-m8-bac.jpg
Xiaomi POCO X7 Pro 5G,Xiaomi,9349000,12,512.0,6.67,2712x1220,Dimensity 8400-Ultra 4nm,Xiaomi HyperOS 2,2 Camera 50 + 8 MP,20MP,6000.0,160.75x8.29x8.43,195,5,1,12820000.0,95,https://www.duchuymobile.com/images/detailed/89/poco-x7-pro-den.jpg
Xiaomi POCO C85 5G,Xiaomi,3519000,4,128.0,6.9,720x1600,Dimensity 6300 (6 nm),"Android 15, HyperOS 2",50 MP + Ống kính phụ,8MP,6000.0,173.2x81.1x8,211,5,1,4470000.0,3,https://www.duchuymobile.com/images/detailed/88/poco-c85-5g.jpg
Motorola Moto G77 5G,Motorola,8899000,8,128.0,6.78,1272x2772,Dimensity 6400 (6 nm),Android 16,108 + 8 MP,32MP,5200.0,164.2x77.4x7.3,182,5,1,11640000.0,93,https://www.duchuymobile.com/images/detailed/89/motorola-moto-g77.jpg
Xiaomi POCO M8 Pro 5G,Xiaomi,10249000,12,512.0,6.83,1280x2772,Snapdragon 7s Gen 4,Xiaomi HyperOS 2,50 + 8 MP,32 MP,6500.0,163.34x78.31x8.31,205.9,5,1,11200000.0,100,https://www.duchuymobile.com/images/detailed/89/poco-m8-pro-5g-den.jpg
Realme 16 Pro Plus 5G,Realme,11649000,8,128.0,6.8,1280x2800,Snapdragon 7 Gen 4 (4 nm),"Android 16, Realme UI 7.0",200 + 50 + 8 MP,50 MP,7000.0,162.5x76.3x8.1,198,5,1,16490000.0,22,https://www.duchuymobile.com/images/detailed/89/realme-16-pro-plus-vang.jpg
Xiaomi 17 Ultra 5G,Xiaomi,31829000,16,1024.0,6.9,1200x2608,Snapdragon 8 Elite Gen 5 (3 nm),"Android 16, HyperOS 3",50 + 200 + 50 MP,50 MP,6800.0,162.9x77.6x8.5,230,5,1,36450000.0,108,https://www.duchuymobile.com/images/detailed/88/xiaomi-17-ultra-5g-tim.jpg
Huawei Mate 80 Pro Max 5G,Huawei,29669000,16,512.0,6.9,1320x2848,Kirin 9030 Pro,HarmonyOS 6.0,50 + 50  50 + 40 MP,"13 MP, f/2.0 + TOF 3D",6000.0,164.4x79x8.3,239,5,1,33710000.0,14,https://www.duchuymobile.com/images/detailed/88/huawei-mate-80-pro-max.jpg
Realme 15 5G,Realme,9349000,12,256.0,6.77,1080x2392,Dimensity 7300+ 5G 8 nhân,Android 15,"Chính 50 MP & Phụ 50 MP, 8 MP",50 MP,7000.0,163.34x75.88x7.66,185,5,1,10630000.0,42,https://www.duchuymobile.com/images/detailed/85/realme-15-5g-hong.jpg
